fileName,cameraAngle,medianLeafCount,maxLeafCount,leafAngle,stalkHeight,panicleExsertion
.,NaN,NaN,NaN,NaN,NaN,NaN
..,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-169-PI 658926_2018-02-09_11-53-57_7050300,NaN,10,17,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-170-PI 658927_2018-01-29_02-39-09_6791900,Vis_SV_144,7,8,96.51085478,1314,NaN
1-26-18_Sorghum_seed_915-171-PI 658928_2018-01-29_01-49-20_6789000,Vis_SV_0,3,4,10.57817803,442,66
1-26-18_Sorghum_seed_915-173-PI 658930_2018-02-05_01-52-14_6945000,Vis_SV_108,13,13,45.35312311,903,NaN
1-26-18_Sorghum_seed_915-174-PI 658931_2018-02-02_02-44-26_6841400,Vis_SV_72,8,10,154.0861574,531,85
1-26-18_Sorghum_seed_915-175-PI 658932_2018-01-29_02-13-10_6790900,Vis_SV_0,6,7,142.097371,601,NaN
1-26-18_Sorghum_seed_915-176-PI 658933_2018-02-09_02-16-58_7054900,Vis_SV_108,11,12,56.77212859,1304,NaN
1-26-18_Sorghum_seed_915-177-PI 658934_2018-02-07_03-23-44_6996900,Vis_SV_36,11,13,35.59216917,713,21
1-26-18_Sorghum_seed_915-178-PI 658935_2018-02-09_01-34-12_7053100,Vis_SV_0,11,12,54.94781538,1048,NaN
1-26-18_Sorghum_seed_915-179-PI 658936_2018-02-02_12-22-51_6837300,Vis_SV_144,4,5,37.76375778,511,63
1-26-18_Sorghum_seed_915-180-PI 658937_2018-02-09_01-49-54_7053700,NaN,9,17,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-180-PI 658937_2018-02-09_02-07-47_7054500,Vis_SV_0,11,12,60.04020888,913,172
1-26-18_Sorghum_seed_915-181-PI 658938_2018-01-26_01-47-28_6698900,Vis_SV_36,1,2,80.19168525,397,9
1-26-18_Sorghum_seed_915-182-PI 658939_2018-01-26_02-32-42_6701000,Vis_SV_36,4,6,65.55830077,608,NaN
1-26-18_Sorghum_seed_915-183-PI 658940_2018-02-09_11-05-36_7048300,Vis_SV_144,7,9,115.0753992,952,NaN
1-26-18_Sorghum_seed_915-184-PI 658941_2018-02-09_11-45-22_7049900,Vis_SV_0,9,9,121.4657347,785,86
1-26-18_Sorghum_seed_915-185-PI 658942_2018-02-09_01-59-06_7054100,Vis_SV_0,3,3,39.47291689,988,85
1-26-18_Sorghum_seed_915-186-PI 658943_2018-01-26_11-32-41_6693500,Vis_SV_108,1,2,172.8398627,57,36
1-26-18_Sorghum_seed_915-187-PI 658944_2018-02-07_03-21-08_6996800,Vis_SV_0,8,9,50.49265046,567,144
